SCORE,MEASURE,S.E.,SCALE
0,-6.43,1.86,DGHS7
1,-5.13,1.06,DGHS7
2,-4.3,0.79,DGHS7
3,-3.77,0.68,DGHS7
4,-3.36,0.61,DGHS7
5,-3.02,0.56,DGHS7
6,-2.72,0.53,DGHS7
7,-2.45,0.51,DGHS7
8,-2.2,0.49,DGHS7
9,-1.97,0.47,DGHS7
10,-1.76,0.46,DGHS7
11,-1.54,0.46,DGHS7
12,-1.34,0.45,DGHS7
13,-1.14,0.45,DGHS7
14,-0.94,0.45,DGHS7
15,-0.73,0.45,DGHS7
16,-0.53,0.46,DGHS7
17,-0.31,0.46,DGHS7
18,-0.1,0.47,DGHS7
19,0.13,0.48,DGHS7
20,0.37,0.5,DGHS7
21,0.63,0.52,DGHS7
22,0.91,0.54,DGHS7
23,1.21,0.57,DGHS7
24,1.56,0.61,DGHS7
25,1.97,0.67,DGHS7
26,2.5,0.79,DGHS7
27,3.31,1.06,DGHS7
28,4.6,1.86,DGHS7
0,-6.49,1.86,PGSI
1,-5.21,1.06,PGSI
2,-4.4,0.79,PGSI
3,-3.87,0.68,PGSI
4,-3.45,0.62,PGSI
5,-3.1,0.58,PGSI
6,-2.78,0.55,PGSI
7,-2.49,0.53,PGSI
8,-2.22,0.51,PGSI
9,-1.98,0.49,PGSI
10,-1.74,0.47,PGSI
11,-1.53,0.46,PGSI
12,-1.32,0.45,PGSI
13,-1.12,0.44,PGSI
14,-0.93,0.43,PGSI
15,-0.75,0.43,PGSI
16,-0.56,0.43,PGSI
17,-0.37,0.43,PGSI
18,-0.19,0.44,PGSI
19,0.01,0.45,PGSI
20,0.22,0.46,PGSI
21,0.44,0.48,PGSI
22,0.69,0.51,PGSI
23,0.97,0.55,PGSI
24,1.31,0.62,PGSI
25,1.77,0.74,PGSI
26,2.5,1.02,PGSI
27,3.72,1.83,PGSI
